id,Nombre,Tipo,Horario,Ciudad,Tiempo,Esfuerzo,Costo,Descripción,Detalle,NotaIA,LATLON,Image
th073,Rajadamnern Muay Thai Stadium (Fight Night),Actividad,Noche,Bangkok,2-3 hs,Bajo,~1.500–3.500 THB,Noche de Muay Thai en uno de los estadios históricos de Bangkok.,Ver calendario y comprar tickets con anticipación. Llegar 30–45 min antes para ubicarse.,"Tomá esto como show cultural; si querés una noche distinta fuera de rooftops, es buena opción.",-,Link
th074,Retiros en ATM (Cajeros),Consejo,Mañana,Tailandia,5m,Bajo,220 THB,Comisión fija por sacar dinero con tarjetas extranjeras.,"Todos los cajeros tailandeses cobran 220 THB por transacción, sin importar el monto.","Conviene retirar el máximo permitido (normalmente 20,000 o 30,000 THB) para amortizar la comisión.","13.7563, 100.5018",Link
th075,Sak Yant Tattoo,Experiencia,Tarde,Bangkok,3-5h,Medio,Variable,Tatuaje tradicional tailandés hecho con varilla.,"Realizado por un maestro Ajarn. No es solo un tatuaje, incluye un ritual de bendición y protección.","Requiere un compromiso ético de ""hacer el bien"" para que la protección funcione.","13.7563, 100.5018",Link
th076,SAMA Onsen & Massage,Spa,Tarde,Phuket,2h,Bajo,1800 THB+,Fusión de onsen japonés y masaje tailandés.,Experiencia de relajación profunda con piscinas de diferentes temperaturas.,Muy recomendado tras días intensos de excursiones en barco.,"7.8920, 98.3010",Link
th077,Santhiya Resort (Koh Yao Yai),Alojamiento,Tarde,Koh Yao Yai,-,Bajo,Alto,Resort de lujo de madera tallada a mano frente al mar.,Recomendado por creadores como alternativa a Phuket por ser menos turístico y más tranquilo.,Se llega en barco rápido (speed boat) desde el muelle de Phuket.,"8.0494, 98.6015",Link
th078,Skyflyers Giant Swing,Visita,Mañana,Bangkok,15m,Alto,320 THB,El columpio gigante más alto del mundo en un parque de atracciones.,Ubicado en Asiatique. 135 metros de altura. Adrenalina pura con vistas al río.,Ir al atardecer para fotos épicas desde el columpio.,"13.7042, 100.5034",Link
th079,So Thai Spa Bangkok,Spa,Da Igual,Bangkok,2h,Bajo,1200 THB+,Spa premium con masajes tradicionales de alta calidad.,Ubicado en Sukhumvit. Ambiente elegante y terapeutas expertos.,Ideal para el primer día tras el vuelo largo (Jet lag).,"13.7330, 100.5620",Link
th080,Soi Romanee,Visita,Tarde,Phuket Town,1h,Bajo,Gratis,La calle más pintoresca y colorida del casco antiguo.,Edificios de estilo sino-portugués llenos de cafeterías y flores. Muy concurrida para fotos de Instagram.,Ve por la mañana temprano si quieres la calle vacía.,"7.8848, 98.3891",Link
th081,SokSiam (IconSiam Barco),Transporte,Tarde,Bangkok,15-20m,Bajo,8 THB,Barco lanzadera oficial desde el muelle Sathorn.,No tomes los barcos de 30 o 100 THB; el oficial de IconSiam cuesta solo 8 THB.,El trayecto ofrece vistas rápidas pero lindas del skyline del río.,"13.7274, 100.5103",Link
th082,SookSiam (ICONSIAM),Comida,Noche,Bangkok,2h,Bajo,Variable,Mercado flotante interior con aire acondicionado.,Planta baja del mall. Reúne comida de las 77 provincias de Tailandia.,Precios de calle en un entorno de lujo y limpio.,"13.7274, 100.5103",Link
th083,Sticky Waterfall (Bua Thong),Visita,Da Igual,Chiang Mai,3h,Alto,Gratis,Cascada de piedra caliza que se puede trepar.,"El depósito de calcio hace que las rocas no resbalen, permitiendo subir a pie como ""Spider-man"".",Lleva ropa que se pueda mojar y toalla; hay vestuarios en el lugar.,"19.0718, 99.1089",Link
th084,Sukhothai Historical Park,Visita,Tarde,Sukhothai,4h,Medio,100 THB,Ruinas de la primera capital del Reino de Siam.,Patrimonio UNESCO. Mucho más tranquilo y menos masificado que Ayutthaya.,Tip IA: Alquila una bicicleta en la entrada (30 THB) para recorrer los tres sectores.,"17.0185, 99.7036",Link
th085,Sunday Walking Street,Mercado,Da Igual,Chiang Mai,3h,Medio,Gratis,El mercado más grande y auténtico del país.,Solo domingos. Ocupa toda la calle Ratchadamnoen. Artesanías y comida increíble.,Empieza a las 17:00h. Se llena mucho; ve temprano.,"18.7877, 98.9895",Link
th086,SuperRich (Verde),Consejo,Tarde,Bangkok,10m,Bajo,-,La mejor casa de cambio de divisas de la ciudad.,El color verde suele tener una tasa ligeramente mejor que el naranja. Hay muchas sucursales en centros comerciales.,Necesitas el pasaporte físico para cualquier operación de cambio.,"13.7485, 100.5404",Link
th087,Taxi Público Aeropuerto (Suvarnabhumi),Transporte,Da Igual,Bangkok,45-60m,Bajo,600 THB,Servicio de taxis oficiales controlados por sistema de tickets.,"No aceptes ofertas de taxistas en la puerta. Debes ir a las máquinas, sacar un ticket con el número de carril (ej. carril 44) y dirigirte allí. El costo incluye: taxímetro + 50 THB tasa aeropuerto + peajes.",Un taxi oficial puede costar hasta un 50% más que pedirlo por la App Grab (ej. 600 THB vs 400 THB).,"13.6899, 100.7501",Link
th124,Tha Kha Floating Market,Mercado,Mañana,Bangkok (excursión),4-6h (con traslados),Medio,Variable,Mercado flotante más local y tranquilo (alternativa).,Más chico/auténtico. Chequear día/horario (suele moverse por finde). Ideal para quienes quieren evitar el turismo masivo.,Fuente: video (reels). Coords web.,"13.54815, 99.93604",
th128,The Secret Brunch (Koh Samui – Lamai),Comida,Mañana-tarde,Koh Samui (Lamai),1-1.5h,Bajo,Medio,Brunch/café con opciones vegetarianas/vegan (zona Lamai).,Cerca de Makro Lamai. Buen café + brunch. Ideal para mañana tranquila.,Fuente: video (reels). Dirección en Lamai; faltan coords exactas en esta pasada.,-,
th126,The Verandah Cafe (Ao Nang),Comida,Mañana-tarde,Krabi (Ao Nang),1-1.5h,Bajo,Variable,Café/brunch popular en Ao Nang.,Ideal para desayuno/brunch antes de tours. Buena opción “occidental” + café. Puede haber espera en temporada alta.,Fuente: video (reels). Coords web.,"8.036787, 98.81916",
th088,Tichuca Rooftop Bar,Visita,Mañana,Bangkok,2h,Bajo,500+ THB,"Bar en las alturas con un ""árbol"" de luces LED gigante.",Ubicado en el edificio T-One. Famoso en TikTok por sus medusas de luz. Se requiere vestimenta casual-elegante.,Suele haber mucha fila; intenta ir justo cuando abren (17:00h).,"13.7230, 100.5794",Link
th129,Tiger Park Phuket,Experiencia,Mañana/Tarde,Phuket,2-3h,Bajo,900–1.300 THB (según tamaño/paquete),Parque para fotos/interacción con tigres (actividad polémica).,"Ubicación: 82/2 Moo 10 Soi Yot Sane 1, Chalong, Phuket 83130. Horario aprox.: 09:00–18:00. Experiencia típica: interacción/fotos (15 min) con tigres por tamaño (restricciones de edad/altura según tamaño). Tip: ir temprano para menos filas; leer reglas de seguridad y evitar flash. Transporte: taxi/Grab desde Patong/Kata/Karon ~30–60 min (según tráfico).",Turismo con fauna silvestre en cautiverio suele tener riesgos de bienestar animal. Si decidís ir priorizá lugares con prácticas transparentes y manejo profesional; considerá alternativas sin contacto.,"7.8319351, 98.3242214",Link
th089,Tren a Ayutthaya,Consejo,Tarde,Transporte,1.5h,Bajo,15 THB,El viaje más barato de Bangkok a las ruinas antiguas.,Salida desde estación Hua Lamphong o Krung Thep Aphiwat. El tren local es una experiencia muy auténtica.,En Ayutthaya alquila una bici o tuk-tuk para ver los templos.,"14.3472, 100.5847",Link
th090,Tren Nocturno (Nº 9),Transporte,Mañana,BKK-Chiang Mai,13h,Bajo,~1000 THB,El mejor tren nocturno para ir al norte del país.,"El tren número 9 es el más moderno. Incluye cama, sábanas limpias y cena. El aire acondicionado es muy fuerte.",Tip Crucial: Reserva la cama de abajo; es más ancha y tiene ventana. Lleva abrigo.,"13.8043, 100.5402",Link
th091,Vieng Thapae Resort,Hotel,Da Igual,Chiang Mai,-,Bajo,-,Resort estilo colonial Lanna cerca de la muralla.,Ubicado a pasos de la Tha Phae Gate. Ideal para recorrer el casco antiguo a pie y cerca del mercado de los domingos.,"Al estar tan céntrico, puedes volver a descansar un rato al mediodía para evitar el pico de calor.","18.7875, 98.9935",Link
th092,Vuelo BKK - CNX,Vuelo,Da Igual,Bangkok,1h 20m,Bajo,-,Vuelo local a Chiang Mai.,Salida 24/02 08:50. Air Asia FD4100.,Traslado al hotel en CNX estimado en 40-60 min por tráfico. Valida el peso de cabina; Air Asia es estricto con los 7kg.,"13.6899, 100.7501",Link
th093,Vuelo BKK - IST,Vuelo,Da Igual,Bangkok,10h 20m,Medio,-,Inicio del regreso a casa.,Salida 09/03 23:45. Thai Airways TG900.,Estrategia: Deja maletas en Hotel Column y ve al aeropuerto a las 20:30.,"13.6899, 100.7501",Link
th094,Vuelo CNX - HKT,Vuelo,Da Igual,Chiang Mai,2h 10m,Bajo,-,Vuelo directo al paraíso (Phuket).,Salida 28/02 11:40. Air Asia FD8165.,"Ojo: El traslado a Kamala/Patong es de 45-60 min, no 10 min [Recomendación IA].","18.7753, 98.9675",Link
th095,Vuelo EZE - GRU,Vuelo,Da Igual,Buenos Aires,2h 35m,Bajo,-,Inicio del viaje: Tramo Buenos Aires a San Pablo.,Salida 16/02 23:55. Turkish TK15.,Escala técnica corta de 1h 40m. No suele requerir bajar del avión.,"-34.8150, -58.5348",Link
th096,Vuelo GRU - EZE,Vuelo,Da Igual,San Pablo,3h 05m,Bajo,-,Último tramo a casa.,Salida 10/03 19:20. Llegada a EZE 22:25.,Escala técnica de 1h 35m en San Pablo.,"-23.4356, -46.4731",Link
th097,Vuelo GRU - IST,Vuelo,Da Igual,San Pablo,12h 25m,Medio,-,Tramo largo hacia Estambul.,Salida 17/02 04:10. Llegada a IST a las 22:35.,Prepárate para una escala larga de 16h 55m en Estambul.,"-23.4356, -46.4731",Link
th098,Vuelo HKT - BKK,Vuelo,Da Igual,Phuket,1h 35m,Bajo,-,Regreso a la capital para el cierre.,Salida 07/03 10:00. Air Asia FD4125.,Traslado al hotel Column BKK estimado en 35-50 min.,"8.1132, 98.3076",Link
th099,Vuelo IST - BKK,Vuelo,Da Igual,Estambul,8h 50m,Medio,-,Tramo final Estambul a Bangkok.,Salida 18/02 15:30. Llegada a BKK el 19/02 04:20 AM.,"Llegarás temprano a Bangkok; coordina con el hotel el ""Early Check-in"".","13.6899, 100.7501",Link
th100,Vuelo IST - GRU,Vuelo,Da Igual,Estambul,13h 45m,Alto,-,Tramo largo de regreso.,Salida 10/03 10:00. Turkish TK15. Escala en IST de 3h 55m.,Pide en BKK que etiqueten el equipaje hasta Buenos Aires (EZE).,"41.2752, 28.7519",Link
th101,Vuelo TG900 (Thai),Vuelo,Mañana,BKK-IST,10h 20m,Bajo,-,Vuelo de regreso Bangkok a Estambul.,Salida 09/03/2026 a las 23:45 hs.,Pide en el counter que etiqueten tu maleta hasta EZE (Buenos Aires).,"13.6899, 100.7501",Link
th102,Wat Arun,Visita,Tarde,Bangkok,1h,Medio,200 THB,"El Templo del Amanecer, icónico por su torre central decorada con porcelana.",Cruza el río desde Wat Pho en el ferry público (5 THB). La subida a las torres es empinada. Atardecer increíble desde la orilla opuesta.,De noche se ilumina y es una de las fotos más famosas de Bangkok.,"13.7437, 100.4889",Link
th103,Wat Chaiwatthanaram,Visita,Da Igual,Ayutthaya,1.5h,Bajo,50 THB,Templo de estilo Khmer junto al río.,El más fotogénico de Ayutthaya. La luz del atardecer es espectacular sobre sus ruinas.,No se permite subir a las torres centrales por preservación.,"14.3435, 100.5418",Link
th104,Wat Chalong (Wat Chaiyathararam),Visita,Mañana/Tarde,Phuket,1-1.5 hs,Bajo,Gratis,Templo más importante de Phuket: arquitectura y detalles interiores muy fotogénicos.,Ir fuera de horas pico. Vestimenta respetuosa. Suele estar abierto aprox. 08:00–17:00.,Buen complemento si hacés tour por el sur (Big Buddha/Promthep).,"7.846389, 98.336944",Link
th105,Wat Chedi Luang,Visita,Mañana/Tarde,Chiang Mai,1-1.5 hs,ºº,50 THB,"Templo clave del casco antiguo de Chiang Mai, con gran chedi histórico.",Conviene temprano. Combina bien con paseo por el Old City y cafés cercanos.,"Si vas un domingo, mirá si coincide con mercados/eventos alrededor del Old City.",-,Link
th106,Wat Mahathat,Visita,Da Igual,Ayutthaya,1h,Bajo,50 THB,Famoso por la cabeza de Buda entre raíces.,El punto más icónico. Hay que agacharse para la foto (tu cabeza no puede estar más alta que la de Buda).,Ir muy temprano para evitar las hordas de buses de tour.,"14.3570, 100.5675",Link
th107,Wat Paknam MRT,Transporte,Noche,Bangkok,30m,Bajo,30 THB,Cómo llegar al Gran Buda de forma fácil y barata.,Toma el metro (MRT Blue Line) hasta la estación Bang Phai. Camina 10 min o toma un mototaxi por 20 bahts.,Es la mejor opción para evitar los barcos caros.,"13.7206, 100.4727",Link
th108,Wat Pha Lat (Hidden Temple),Visita,Mañana/Tarde,Chiang Mai,1.5-2.5 hs,Medio,Gratis,"Templo escondido en la selva en la ladera de Doi Suthep, accesible por caminata (Monks Trail) o taxi.",Si lo hacés caminando: zapatillas + agua. Puede haber tramos resbaladizos si llovió.,"Es un ‘templo sorpresa’: menos turismo, más naturaleza. Ideal si ya fuiste a Doi Suthep.","18.799137, 98.933975",Link
th109,Wat Pho,Visita,Mañana,Bangkok,1.5h,Bajo,300 THB,Templo del Buda Reclinado más grande de Tailandia (46m).,Famoso por sus pies de nácar y por ser la cuna del masaje tradicional. Está a pasos del Gran Palacio.,"Si tienes tiempo, hazte un masaje aquí; es la escuela oficial del país.","13.7465, 100.4933",Link
th110,Wat Phra Singh,Visita,Mañana/Tarde,Chiang Mai,1-1.5 hs,Bajo,20 THB,"Uno de los templos más importantes de Chiang Mai, famoso por su sala principal y detalles Lanna.",Ideal en circuito Old City. Vestimenta respetuosa (hombros/rodillas).,"Si te gustan templos “bien cuidados”, este suele impresionar.","18.788750, 98.9812139",Link
th111,Wat Phra That Doi Suthep,Visita,Mañana,Chiang Mai,3h,Medio,30 THB,Templo sagrado en la montaña.,306 escalones o funicular. Vista 360 de la ciudad.,Ir al atardecer para ver la ciudad iluminada.,"18.8050, 98.9215",Link
th112,Wat Rong Khun (Blanco),Visita,Mañana,Chiang Rai,1.5h,Bajo,200 THB,Obra de arte moderna en forma de templo.,"Blanco puro con espejos. Símbolo de Chiang Rai. Representa el ciclo de la vida y la muerte. No es un templo antiguo, sino una obra del artista Chalermchai.",Está a 3h de Chiang Mai; se suele hacer como excursión de día. Prohibido fotos dentro del edificio principal.,"19.8242, 99.7630",Link
th113,Wat Rong Suea Ten (Azul),Visita,Da Igual,Chiang Rai,1h,Bajo,Gratis,Templo moderno con un azul eléctrico vibrante.,Obra del discípulo del creador del Templo Blanco. El Buda blanco interior es impresionante.,"Al ser gratis y visual, se llena rápido; ve temprano.","19.9231, 99.8415",Link
th114,Wat Saket (Golden Mount),Visita,Mañana,Bangkok,1.5h,Medio,100 THB,Templo en una colina con vista 360° de la ciudad vieja.,Debes subir 300 escalones suaves rodeados de fuentes y vegetación. Arriba hay una estupa dorada icónica.,Ideal para ir justo antes del atardecer para ver caer el sol sobre Bangkok.,"13.7538, 100.5066",Link
th115,Wat Samphran (Dragón),Visita,Da Igual,Nakhon Pathom,2h,Medio,Gratis / 2€ (Dona),Torre de 17 pisos con un dragón gigante que la rodea.,Puedes caminar por el interior del túnel que es el cuerpo del dragón para llegar a la cima. Es un templo menos turístico y muy visual para fotos.,Está a 1 hora de Bangkok; combina bien con el mercado de Maeklong.,"13.7348, 100.2173",Link
th116,Wat Traimit (Buda de Oro),Visita,Da Igual,Bangkok,1h,Bajo,100 THB,Estatua de oro macizo más grande del mundo.,Pesa 5.5 toneladas. Es la puerta de entrada ideal para caminar luego hacia Chinatown.,Vestimenta respetuosa requerida.,"13.7377, 100.5134",Link
th117,Yaowarat (Chinatown),Comida,Noche,Bangkok,2h,Medio,Variable,El corazón gastronómico callejero de Bangkok.,Ir de noche para ver los neones y comer en los puestos callejeros. Muy concurrido y caótico.,No te pierdas los bollos de crema (Bun) y la sopa de noodles de pimienta.,"13.7412, 100.5081",Link
th118,Zoe in Yellow,Vida Nocturna,Noche,Chiang Mai,3h,Bajo,Variable,El bar más famoso del casco antiguo.,Punto de encuentro de viajeros. Música variada y mucha gente joven.,Cierra relativamente temprano (00:00 - 01:00) por normativas locales.,"18.7905, 98.9902",Link
th119,Estambul Lounge,Sugerencia,22:35–07:30,Estambul (IST),8–9h,Bajo,Variable,"Para hacer Touristanbul tenés que salir de airside: pasar migraciones y presentarte en el 'Hotel Desk' (zona de llegadas/landsid e). Alternativas para descansar: IGA Lounge (airside), Sleepod (airside) o Plaza Premium (landside).","Plan recomendado: 22:35 llegar y quedarte en airside (IGA Lounge si tenés Priority Pass/DragonPass o pagás en puerta; Nap Zone + duchas + buffet 24h). 06:00–06:30 salir de la lounge, ir a migraciones y presentarte en Hotel Desk antes de 07:30. Alternativa: IGA Sleepod (cápsulas por hora, más privado pero sin comida/duchas). Si pagás lounge, evaluar YOTEL Airside (a veces precio similar por cama real).",Reglas de acceso y precios varían por temporada/estatus. Confirmar en sitio oficial (Touristanbul + lounges) el día previo.,"41.275278,28.751944",Link
th120,Estambul Tour,Experiencia,08:00–11:30,Estambul (IST),3.5h,Bajo,Gratis (si aplica por conexión),Tour panorámico para conexiones con vuelo al mediodía/tarde. Punto de encuentro: Hotel Desk (llegadas) a las 07:30.,"Itinerario típico: salida en bus, vistas Murallas de Constantinopla, Eminönü + Puente de Gálata, parada fotos Cuerno de Oro, vistas Torre de Gálata y Palacio Dolmabahçe, regreso al aeropuerto ~11:30. Tips: llevar abrigo liviano, agua; calculá margen para security al volver.","Confirmar elegibilidad (conexión, horarios, cupos) y día de operación del tour en Touristanbul. Llegar temprano al Hotel Desk.","41.275278,28.751944",Link
