Nombre,Tipo,Horario,Ciudad,Tiempo,Esfuerzo,Costo,Descripción,Detalle,NotaIA,LATLON,Image
Tren a Ayutthaya,Consejo,Tarde,Transporte,1.5h,Bajo,15 THB,El viaje más barato de Bangkok a las ruinas antiguas.,Salida desde estación Hua Lamphong o Krung Thep Aphiwat. El tren local es una experiencia muy auténtica.,En Ayutthaya alquila una bici o tuk-tuk para ver los templos.,"14.3472, 100.5847",Link
Tren Nocturno (Nº 9),Transporte,Mañana,BKK-Chiang Mai,13h,Bajo,~1000 THB,El mejor tren nocturno para ir al norte del país.,"El tren número 9 es el más moderno. Incluye cama, sábanas limpias y cena. El aire acondicionado es muy fuerte.",Tip Crucial: Reserva la cama de abajo; es más ancha y tiene ventana. Lleva abrigo.,"13.8043, 100.5402",Link
Vieng Thapae Resort,Hotel,Da Igual,Chiang Mai,-,Bajo,-,Resort estilo colonial Lanna cerca de la muralla.,Ubicado a pasos de la Tha Phae Gate. Ideal para recorrer el casco antiguo a pie y cerca del mercado de los domingos.,"Al estar tan céntrico, puedes volver a descansar un rato al mediodía para evitar el pico de calor.","18.7875, 98.9935",Link
Vuelo BKK - CNX,Vuelo,Da Igual,Bangkok,1h 20m,Bajo,-,Vuelo local a Chiang Mai.,Salida 24/02 08:50. Air Asia FD4100.,Traslado al hotel en CNX estimado en 40-60 min por tráfico. Valida el peso de cabina; Air Asia es estricto con los 7kg.,"13.6899, 100.7501",Link
Vuelo BKK - IST,Vuelo,Da Igual,Bangkok,10h 20m,Medio,-,Inicio del regreso a casa.,Salida 09/03 23:45. Thai Airways TG900.,Estrategia: Deja maletas en Hotel Column y ve al aeropuerto a las 20:30.,"13.6899, 100.7501",Link
Vuelo CNX - HKT,Vuelo,Da Igual,Chiang Mai,2h 10m,Bajo,-,Vuelo directo al paraíso (Phuket).,Salida 28/02 11:40. Air Asia FD8165.,"Ojo: El traslado a Kamala/Patong es de 45-60 min, no 10 min [Recomendación IA].","18.7753, 98.9675",Link
Vuelo EZE - GRU,Vuelo,Da Igual,Buenos Aires,2h 35m,Bajo,-,Inicio del viaje: Tramo Buenos Aires a San Pablo.,Salida 16/02 23:55. Turkish TK15.,Escala técnica corta de 1h 40m. No suele requerir bajar del avión.,"-34.8150, -58.5348",Link
Vuelo GRU - EZE,Vuelo,Da Igual,San Pablo,3h 05m,Bajo,-,Último tramo a casa.,Salida 10/03 19:20. Llegada a EZE 22:25.,Escala técnica de 1h 35m en San Pablo.,"-23.4356, -46.4731",Link
Vuelo GRU - IST,Vuelo,Da Igual,San Pablo,12h 25m,Medio,-,Tramo largo hacia Estambul.,Salida 17/02 04:10. Llegada a IST a las 22:35.,Prepárate para una escala larga de 16h 55m en Estambul.,"-23.4356, -46.4731",Link
Vuelo HKT - BKK,Vuelo,Da Igual,Phuket,1h 35m,Bajo,-,Regreso a la capital para el cierre.,Salida 07/03 10:00. Air Asia FD4125.,Traslado al hotel Column BKK estimado en 35-50 min.,"8.1132, 98.3076",Link
Vuelo IST - BKK,Vuelo,Da Igual,Estambul,8h 50m,Medio,-,Tramo final Estambul a Bangkok.,Salida 18/02 15:30. Llegada a BKK el 19/02 04:20 AM.,"Llegarás temprano a Bangkok; coordina con el hotel el ""Early Check-in"".","13.6899, 100.7501",Link
Vuelo IST - GRU,Vuelo,Da Igual,Estambul,13h 45m,Alto,-,Tramo largo de regreso.,Salida 10/03 10:00. Turkish TK15. Escala en IST de 3h 55m.,Pide en BKK que etiqueten el equipaje hasta Buenos Aires (EZE).,"41.2752, 28.7519",Link
Vuelo TG900 (Thai),Vuelo,Mañana,BKK-IST,10h 20m,Bajo,-,Vuelo de regreso Bangkok a Estambul.,Salida 09/03/2026 a las 23:45 hs.,Pide en el counter que etiqueten tu maleta hasta EZE (Buenos Aires).,"13.6899, 100.7501",Link
Wat Arun,Visita,Tarde,Bangkok,1h,Medio,200 THB,"El Templo del Amanecer, icónico por su torre central decorada con porcelana.",Cruza el río desde Wat Pho en el ferry público (5 THB). La subida a las torres es empinada. Atardecer increíble desde la orilla opuesta.,De noche se ilumina y es una de las fotos más famosas de Bangkok.,"13.7437, 100.4889",Link
Wat Chaiwatthanaram,Visita,Da Igual,Ayutthaya,1.5h,Bajo,50 THB,Templo de estilo Khmer junto al río.,El más fotogénico de Ayutthaya. La luz del atardecer es espectacular sobre sus ruinas.,No se permite subir a las torres centrales por preservación.,"14.3435, 100.5418",Link
Wat Chalong (Wat Chaiyathararam),Visita,Mañana/Tarde,Phuket,1-1.5 hs,Bajo,Gratis,Templo más importante de Phuket: arquitectura y detalles interiores muy fotogénicos.,Ir fuera de horas pico. Vestimenta respetuosa. Suele estar abierto aprox. 08:00–17:00.,Buen complemento si hacés tour por el sur (Big Buddha/Promthep).,"7.846389, 98.336944",Link
Wat Chedi Luang,Visita,Mañana/Tarde,Chiang Mai,1-1.5 hs,ºº,50 THB,"Templo clave del casco antiguo de Chiang Mai, con gran chedi histórico.",Conviene temprano. Combina bien con paseo por el Old City y cafés cercanos.,"Si vas un domingo, mirá si coincide con mercados/eventos alrededor del Old City.",-,Link
Wat Mahathat,Visita,Da Igual,Ayutthaya,1h,Bajo,50 THB,Famoso por la cabeza de Buda entre raíces.,El punto más icónico. Hay que agacharse para la foto (tu cabeza no puede estar más alta que la de Buda).,Ir muy temprano para evitar las hordas de buses de tour.,"14.3570, 100.5675",Link
Wat Paknam MRT,Transporte,Noche,Bangkok,30m,Bajo,30 THB,Cómo llegar al Gran Buda de forma fácil y barata.,Toma el metro (MRT Blue Line) hasta la estación Bang Phai. Camina 10 min o toma un mototaxi por 20 bahts.,Es la mejor opción para evitar los barcos caros.,"13.7206, 100.4727",Link
Wat Pha Lat (Hidden Temple),Visita,Mañana/Tarde,Chiang Mai,1.5-2.5 hs,Medio,Gratis,"Templo escondido en la selva en la ladera de Doi Suthep, accesible por caminata (Monks Trail) o taxi.",Si lo hacés caminando: zapatillas + agua. Puede haber tramos resbaladizos si llovió.,"Es un ‘templo sorpresa’: menos turismo, más naturaleza. Ideal si ya fuiste a Doi Suthep.","18.799137, 98.933975",Link
Wat Pho,Visita,Mañana,Bangkok,1.5h,Bajo,300 THB,Templo del Buda Reclinado más grande de Tailandia (46m).,Famoso por sus pies de nácar y por ser la cuna del masaje tradicional. Está a pasos del Gran Palacio.,"Si tienes tiempo, hazte un masaje aquí; es la escuela oficial del país.","13.7465, 100.4933",Link
Wat Phra Singh,Visita,Mañana/Tarde,Chiang Mai,1-1.5 hs,Bajo,20 THB,"Uno de los templos más importantes de Chiang Mai, famoso por su sala principal y detalles Lanna.",Ideal en circuito Old City. Vestimenta respetuosa (hombros/rodillas).,"Si te gustan templos “bien cuidados”, este suele impresionar.","18.788750, 98.9812139",Link
Wat Phra That Doi Suthep,Visita,Mañana,Chiang Mai,3h,Medio,30 THB,Templo sagrado en la montaña.,306 escalones o funicular. Vista 360 de la ciudad.,Ir al atardecer para ver la ciudad iluminada.,"18.8050, 98.9215",Link
Wat Rong Khun (Blanco),Visita,Mañana,Chiang Rai,1.5h,Bajo,200 THB,Obra de arte moderna en forma de templo.,"Blanco puro con espejos. Símbolo de Chiang Rai. Representa el ciclo de la vida y la muerte. No es un templo antiguo, sino una obra del artista Chalermchai.",Está a 3h de Chiang Mai; se suele hacer como excursión de día. Prohibido fotos dentro del edificio principal.,"19.8242, 99.7630",Link
Wat Rong Suea Ten (Azul),Visita,Da Igual,Chiang Rai,1h,Bajo,Gratis,Templo moderno con un azul eléctrico vibrante.,Obra del discípulo del creador del Templo Blanco. El Buda blanco interior es impresionante.,"Al ser gratis y visual, se llena rápido; ve temprano.","19.9231, 99.8415",Link
Wat Saket (Golden Mount),Visita,Mañana,Bangkok,1.5h,Medio,100 THB,Templo en una colina con vista 360° de la ciudad vieja.,Debes subir 300 escalones suaves rodeados de fuentes y vegetación. Arriba hay una estupa dorada icónica.,Ideal para ir justo antes del atardecer para ver caer el sol sobre Bangkok.,"13.7538, 100.5066",Link
Wat Samphran (Dragón),Visita,Da Igual,Nakhon Pathom,2h,Medio,Gratis / 2€ (Dona),Torre de 17 pisos con un dragón gigante que la rodea.,Puedes caminar por el interior del túnel que es el cuerpo del dragón para llegar a la cima. Es un templo menos turístico y muy visual para fotos.,Está a 1 hora de Bangkok; combina bien con el mercado de Maeklong.,"13.7348, 100.2173",Link
Wat Traimit (Buda de Oro),Visita,Da Igual,Bangkok,1h,Bajo,100 THB,Estatua de oro macizo más grande del mundo.,Pesa 5.5 toneladas. Es la puerta de entrada ideal para caminar luego hacia Chinatown.,Vestimenta respetuosa requerida.,"13.7377, 100.5134",Link
Yaowarat (Chinatown),Comida,Noche,Bangkok,2h,Medio,Variable,El corazón gastronómico callejero de Bangkok.,Ir de noche para ver los neones y comer en los puestos callejeros. Muy concurrido y caótico.,No te pierdas los bollos de crema (Bun) y la sopa de noodles de pimienta.,"13.7412, 100.5081",Link
Zoe in Yellow,Vida Nocturna,Noche,Chiang Mai,3h,Bajo,Variable,El bar más famoso del casco antiguo.,Punto de encuentro de viajeros. Música variada y mucha gente joven.,Cierra relativamente temprano (00:00 - 01:00) por normativas locales.,"18.7905, 98.9902",Link
